sample,time_ms,ir_raw,red_raw,ir_dc,red_dc,ir_ac,red_ac,time_s,ir_raw_minus_dc,red_raw_minus_dc
1040.0,10400.0,20254.0,24694.0,20254.0,24694.0,0.0,0.0,10.4,0.0,0.0
1042.0,10420.0,36918.0,43993.0,22506.3,27329.5,708.5,839.3,10.42,14411.7,16663.5
1044.0,10440.0,62173.0,66987.0,28952.2,33965.8,4971.2,5538.7,10.44,33220.8,33021.2
1046.0,10460.0,68096.0,64908.0,36668.4,40388.5,13575.4,13818.6,10.46,31427.6,24519.5
1048.0,10480.0,77367.0,71986.0,44077.1,46206.0,22284.4,20759.8,10.48,33289.9,25780.0
1050.0,10500.0,81776.0,74232.0,51081.5,51453.8,28559.9,24780.5,10.5,30694.5,22778.199999999997
1052.0,10520.0,83207.0,75237.0,57173.6,55933.6,31588.6,25857.6,10.52,26033.4,19303.4
1054.0,10540.0,84599.0,75877.0,62326.1,59694.1,31409.2,24577.0,10.54,22272.9,16182.900000000001
1056.0,10560.0,85525.0,76324.0,66697.8,62835.5,28943.1,21861.2,10.56,18827.199999999997,13488.5
1058.0,10580.0,86122.0,76581.0,70364.5,65436.5,25292.3,18564.3,10.58,15757.5,11144.5
1060.0,10600.0,86529.0,76750.0,73419.2,67578.8,21310.6,15279.9,10.6,13109.800000000003,9171.199999999997
1062.0,10620.0,86935.0,76885.0,75969.3,69344.4,17546.4,12344.9,10.62,10965.699999999997,7540.600000000006
1064.0,10640.0,87133.0,76937.0,78083.2,70785.9,14281.6,9889.7,10.64,9049.800000000003,6151.100000000006
1066.0,10660.0,87219.0,76994.0,79816.2,71963.6,11576.1,7910.1,10.66,7402.800000000003,5030.399999999994
1068.0,10680.0,87157.0,76998.0,81215.5,72918.5,9373.0,6344.2,10.68,5941.5,4079.5
1070.0,10700.0,86997.0,76945.0,82324.2,73685.5,7572.4,5106.9,10.7,4672.800000000003,3259.5
1072.0,10720.0,86920.0,76958.0,83200.2,74305.4,6082.8,4119.2,10.72,3719.800000000003,2652.600000000006
1074.0,10740.0,86953.0,76941.0,83913.2,74808.8,4861.7,3330.5,10.74,3039.800000000003,2132.199999999997
1076.0,10760.0,86990.0,76933.0,84494.5,75214.5,3886.1,2697.1,10.76,2495.5,1718.5
1078.0,10780.0,86986.0,76920.0,84964.8,75538.1,3118.0,2182.1,10.78,2021.199999999997,1381.8999999999942
1080.0,10800.0,87077.0,77007.0,85358.9,75814.4,2517.0,1767.2,10.8,1718.1000000000058,1192.6000000000058
1082.0,10820.0,87140.0,77076.0,85694.0,76049.7,2058.4,1446.4,10.82,1446.0,1026.300000000003
1084.0,10840.0,87180.0,77088.0,85978.7,76245.2,1711.8,1200.7,10.84,1201.300000000003,842.8000000000029
1086.0,10860.0,87200.0,77136.0,86211.2,76411.1,1438.9,1006.5,10.86,988.8000000000029,724.8999999999942
1088.0,10880.0,87299.0,77205.0,86414.5,76558.2,1214.9,853.1,10.88,884.5,646.8000000000029
1090.0,10900.0,87395.0,77262.0,86595.4,76689.9,1036.9,735.8,10.9,799.6000000000058,572.1000000000058
1092.0,10920.0,87441.0,77291.0,86753.5,76802.7,898.5,643.8,10.92,687.5,488.3000000000029
1094.0,10940.0,87503.0,77290.0,86891.3,76895.9,785.8,564.3,10.94,611.6999999999971,394.1000000000058
1096.0,10960.0,87500.0,77261.0,87007.4,76967.0,690.0,486.4,10.96,492.6000000000058,294.0
1098.0,10980.0,87482.0,77171.0,87099.9,77010.4,599.5,401.9,10.98,382.1000000000058,160.60000000000582
1100.0,11000.0,87432.0,77065.0,87166.7,77025.9,506.0,304.0,11.0,265.3000000000029,39.10000000000582
1102.0,11020.0,87254.0,76906.0,87193.3,77011.1,400.8,192.9,11.02,60.69999999999709,-105.10000000000582
