sample,time_ms,ir_raw,red_raw,ir_dc,red_dc,ir_ac,red_ac,time_s,ir_raw_minus_dc,red_raw_minus_dc
3000.0,30000.0,83075.0,72212.0,82998.7,72289.9,203.2,-13.4,30.0,76.30000000000291,-77.89999999999418
3002.0,30020.0,82803.0,72101.0,82997.4,72288.3,170.0,-28.4,30.02,-194.39999999999418,-187.3000000000029
3004.0,30040.0,82491.0,71983.0,82993.0,72285.5,55.2,-78.1,30.04,-502.0,-302.5
3006.0,30060.0,82296.0,71910.0,82986.5,72281.9,-134.7,-156.6,30.06,-690.5,-371.8999999999942
3008.0,30080.0,82216.0,71889.0,82979.0,72278.0,-353.2,-243.2,30.08,-763.0,-389.0
3010.0,30100.0,82247.0,71903.0,82971.6,72274.2,-544.2,-315.1,30.1,-724.6000000000058,-371.1999999999971
3012.0,30120.0,82345.0,71950.0,82965.1,72270.8,-665.9,-357.7,30.12,-620.1000000000058,-320.8000000000029
3014.0,30140.0,82466.0,72001.0,82959.8,72268.0,-701.7,-364.9,30.14,-493.8000000000029,-267.0
3016.0,30160.0,82561.0,72042.0,82955.6,72265.6,-662.3,-342.3,30.16,-394.6000000000058,-223.60000000000582
3018.0,30180.0,82676.0,72098.0,82952.5,72263.8,-574.0,-300.9,30.18,-276.5,-165.8000000000029
3020.0,30200.0,82798.0,72148.0,82950.7,72262.6,-458.6,-247.2,30.2,-152.6999999999971,-114.60000000000582
3022.0,30220.0,82862.0,72182.0,82949.7,72261.8,-332.8,-189.4,30.22,-87.69999999999709,-79.80000000000291
3024.0,30240.0,82887.0,72191.0,82949.1,72261.1,-217.5,-137.6,30.24,-62.10000000000582,-70.10000000000582
3026.0,30260.0,82882.0,72177.0,82948.5,72260.3,-129.4,-99.4,30.26,-66.5,-83.30000000000291
3028.0,30280.0,82861.0,72170.0,82947.7,72259.4,-76.6,-78.8,30.28,-86.69999999999709,-89.39999999999418
