Firmware integrado iDroid — relatório ESP-IDF size-components
Data da coleta: 2026-07-27
Revisão: 3ede804-dirty (diff executável vazio; alteração local somente em comentário GPIO2 → GPIO20)
ESP-IDF: v5.5.1
Alvo: ESP32-C6
Configuração: single-app, flash 2 MB, otimização debug
Comando registrado pelo ESP-IDF: ninja size-components

Archive File | Total Size | DIRAM | .bss | .data | DIRAM .text | Flash Code | .rodata | .appdesc | Flash .text | LP SRAM | .rtc_reserved | .force_slow
liblvgl__lvgl.a | 361202 | 99602 | 99460 | 142 | 0 | 261600 | 50184 | 0 | 211416 | 0 | 0 | 0
libmain.a | 207325 | 1928 | 1863 | 65 | 0 | 205397 | 174673 | 0 | 30724 | 0 | 0 | 0
libesp_app_format.a | 54535 | 10 | 10 | 0 | 0 | 54525 | 53739 | 256 | 530 | 0 | 0 | 0
libesp_hw_support.a | 42236 | 12570 | 272 | 1524 | 10774 | 29610 | 3230 | 0 | 26380 | 56 | 24 | 32
libhal.a | 23608 | 14219 | 12 | 3043 | 11164 | 9389 | 777 | 0 | 8612 | 0 | 0 | 0
libfreertos.a | 16349 | 14344 | 2240 | 94 | 12010 | 2005 | 1041 | 0 | 964 | 0 | 0 | 0
libnvs_flash.a | 16199 | 24 | 24 | 0 | 0 | 16175 | 263 | 0 | 15912 | 0 | 0 | 0
libesp_driver_rmt.a | 15442 | 3485 | 12 | 77 | 3396 | 11957 | 737 | 0 | 11220 | 0 | 0 | 0
libesp_driver_i2c.a | 14698 | 810 | 28 | 0 | 782 | 13888 | 516 | 0 | 13372 | 0 | 0 | 0
libesp_system.a | 13199 | 2105 | 134 | 41 | 1930 | 11094 | 516 | 0 | 10578 | 0 | 0 | 0
libesp_driver_spi.a | 12942 | 4868 | 8 | 104 | 4756 | 8074 | 520 | 0 | 7554 | 0 | 0 | 0
libspi_flash.a | 12519 | 10490 | 14 | 1212 | 9264 | 2029 | 357 | 0 | 1672 | 0 | 0 | 0
libesp_driver_uart.a | 8952 | 260 | 28 | 232 | 0 | 8692 | 552 | 0 | 8140 | 0 | 0 | 0
libesp_driver_gpio.a | 7803 | 36 | 0 | 36 | 0 | 7767 | 781 | 0 | 6986 | 0 | 0 | 0
libm.a | 6838 | 0 | 0 | 0 | 0 | 6838 | 1040 | 0 | 5798 | 0 | 0 | 0
libc.a | 5368 | 580 | 320 | 260 | 0 | 4788 | 0 | 0 | 4788 | 0 | 0 | 0
libvfs.a | 5029 | 236 | 44 | 192 | 0 | 4793 | 143 | 0 | 4650 | 0 | 0 | 0
liblvgl_port_lib.a | 4876 | 24 | 24 | 0 | 0 | 4852 | 316 | 0 | 4536 | 0 | 0 | 0
libesp_mm.a | 4689 | 1565 | 48 | 103 | 1414 | 3124 | 166 | 0 | 2958 | 0 | 0 | 0
libesp_lcd.a | 4457 | 50 | 0 | 0 | 50 | 4407 | 363 | 0 | 4044 | 0 | 0 | 0
libesp_adc.a | 4270 | 13 | 13 | 0 | 0 | 4257 | 737 | 0 | 3520 | 0 | 0 | 0
libheap.a | 3989 | 1328 | 8 | 12 | 1308 | 2661 | 437 | 0 | 2224 | 0 | 0 | 0
libnewlib.a | 3929 | 2226 | 200 | 156 | 1870 | 1703 | 109 | 0 | 1594 | 0 | 0 | 0
libespressif__onewire_bus.a | 3927 | 46 | 0 | 16 | 30 | 3881 | 505 | 0 | 3376 | 0 | 0 | 0
libespressif__esp_lcd_gc9a01.a | 3319 | 147 | 3 | 144 | 0 | 3172 | 876 | 0 | 2296 | 0 | 0 | 0
libesp_timer.a | 3274 | 1382 | 36 | 16 | 1330 | 1892 | 90 | 0 | 1802 | 0 | 0 | 0
libefuse.a | 2796 | 124 | 4 | 120 | 0 | 2672 | 412 | 0 | 2260 | 0 | 0 | 0
libesp_driver_usb_serial_jtag.a | 2712 | 167 | 17 | 48 | 102 | 2545 | 173 | 0 | 2372 | 0 | 0 | 0
libcoexist.a | 2254 | 350 | 1 | 303 | 46 | 1904 | 96 | 0 | 1808 | 0 | 0 | 0
libesp_partition.a | 2228 | 8 | 8 | 0 | 0 | 2220 | 168 | 0 | 2052 | 0 | 0 | 0
liblog.a | 2048 | 672 | 276 | 8 | 388 | 1376 | 48 | 0 | 1328 | 0 | 0 | 0
libesp_common.a | 1848 | 0 | 0 | 0 | 0 | 1848 | 1790 | 0 | 58 | 0 | 0 | 0
libesp_rom.a | 1701 | 1630 | 84 | 0 | 1546 | 71 | 69 | 0 | 2 | 0 | 0 | 0
libstdc++.a | 1662 | 25 | 17 | 8 | 0 | 1637 | 199 | 0 | 1438 | 0 | 0 | 0
libesp_ringbuf.a | 1540 | 1398 | 0 | 0 | 1398 | 142 | 142 | 0 | 0 | 0 | 0 | 0
libespressif__ds18b20.a | 1492 | 0 | 0 | 0 | 0 | 1492 | 128 | 0 | 1364 | 0 | 0 | 0
libriscv.a | 1292 | 1112 | 256 | 0 | 856 | 180 | 50 | 0 | 130 | 0 | 0 | 0
libchsc6x_touch.a | 1177 | 12 | 12 | 0 | 0 | 1165 | 17 | 0 | 1148 | 0 | 0 | 0
libbootloader_support.a | 1052 | 960 | 0 | 0 | 960 | 92 | 40 | 0 | 52 | 0 | 0 | 0
libesp_vfs_console.a | 812 | 20 | 20 | 0 | 0 | 792 | 180 | 0 | 612 | 0 | 0 | 0
libespressif__esp_lcd_touch.a | 808 | 0 | 0 | 0 | 0 | 808 | 54 | 0 | 754 | 0 | 0 | 0
libsoc.a | 705 | 0 | 0 | 0 | 0 | 705 | 705 | 0 | 0 | 0 | 0 | 0
libpthread.a | 604 | 4 | 4 | 0 | 0 | 600 | 46 | 0 | 554 | 0 | 0 | 0
libesp_coex.a | 508 | 192 | 0 | 80 | 112 | 316 | 0 | 0 | 316 | 0 | 0 | 0
libapp_update.a | 232 | 4 | 4 | 0 | 0 | 228 | 30 | 0 | 198 | 0 | 0 | 0
libesp_security.a | 139 | 0 | 0 | 0 | 0 | 139 | 33 | 0 | 106 | 0 | 0 | 0
libcxx.a | 60 | 0 | 0 | 0 | 0 | 60 | 0 | 0 | 60 | 0 | 0 | 0
libesp_pm.a | 18 | 12 | 0 | 0 | 12 | 6 | 0 | 0 | 6 | 0 | 0 | 0
libnvs_sec_provider.a | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0
libesp_phy.a | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0

Nota metodológica: contribuições por arquivo de biblioteca ao ELF não equivalem ao incremento causal que seria removido ao desabilitar um módulo.
